,comment,corridorCode,productIdentification,productHour,offeredCapacity,requestedCapacity,allocatedCapacity,auctionPrice,additionalMessage,datetime
105,,PL-UA,B10-------,09:00-10:00,0.0,0.0,0.0,0.0,,2024-04-09 09:00:00
106,,PL-UA,B11-------,10:00-11:00,0.0,0.0,0.0,0.0,,2024-04-09 10:00:00
107,,PL-UA,B12-------,11:00-12:00,0.0,0.0,0.0,0.0,,2024-04-09 11:00:00
108,,PL-UA,B13-------,12:00-13:00,0.0,0.0,0.0,0.0,,2024-04-09 12:00:00
109,,PL-UA,B14-------,13:00-14:00,0.0,0.0,0.0,0.0,,2024-04-09 13:00:00
110,,PL-UA,B15-------,14:00-15:00,0.0,0.0,0.0,0.0,,2024-04-09 14:00:00
111,,PL-UA,B16-------,15:00-16:00,0.0,0.0,0.0,0.0,,2024-04-09 15:00:00
112,,PL-UA,B17-------,16:00-17:00,50.0,55.0,50.0,0.01,,2024-04-09 16:00:00
113,,PL-UA,B18-------,17:00-18:00,141.0,146.0,141.0,0.01,,2024-04-09 17:00:00
114,,PL-UA,B19-------,18:00-19:00,0.0,0.0,0.0,0.0,,2024-04-09 18:00:00
115,,PL-UA,B20-------,19:00-20:00,0.0,0.0,0.0,0.0,,2024-04-09 19:00:00
116,,PL-UA,B21-------,20:00-21:00,0.0,0.0,0.0,0.0,,2024-04-09 20:00:00
117,,PL-UA,B22-------,21:00-22:00,0.0,0.0,0.0,0.0,,2024-04-09 21:00:00
118,,PL-UA,B23-------,22:00-23:00,141.0,146.0,141.0,0.01,,2024-04-09 22:00:00
119,,PL-UA,B24-------,23:00-24:00,69.0,5.0,5.0,0.0,,2024-04-09 23:00:00
120,,PL-UA,B24-------,23:00-24:00,69.0,5.0,5.0,0.0,,2024-04-10 23:00:00
121,,PL-UA,B23-------,22:00-23:00,141.0,5.0,5.0,0.0,,2024-04-10 22:00:00
122,,PL-UA,B22-------,21:00-22:00,123.0,128.0,123.0,0.01,,2024-04-10 21:00:00
123,,PL-UA,B21-------,20:00-21:00,210.0,215.0,210.0,0.01,,2024-04-10 20:00:00
124,,PL-UA,B20-------,19:00-20:00,246.0,251.0,246.0,0.01,,2024-04-10 19:00:00
125,,PL-UA,B19-------,18:00-19:00,228.0,233.0,228.0,0.01,,2024-04-10 18:00:00
126,,PL-UA,B18-------,17:00-18:00,141.0,146.0,141.0,0.01,,2024-04-10 17:00:00
127,,PL-UA,B17-------,16:00-17:00,50.0,55.0,50.0,0.01,,2024-04-10 16:00:00
128,,PL-UA,B16-------,15:00-16:00,0.0,0.0,0.0,0.0,,2024-04-10 15:00:00
129,,PL-UA,B15-------,14:00-15:00,0.0,0.0,0.0,0.0,,2024-04-10 14:00:00
130,,PL-UA,B14-------,13:00-14:00,0.0,0.0,0.0,0.0,,2024-04-10 13:00:00
131,,PL-UA,B13-------,12:00-13:00,0.0,0.0,0.0,0.0,,2024-04-10 12:00:00
132,,PL-UA,B12-------,11:00-12:00,0.0,0.0,0.0,0.0,,2024-04-10 11:00:00
133,,PL-UA,B11-------,10:00-11:00,0.0,0.0,0.0,0.0,,2024-04-10 10:00:00
134,,PL-UA,B10-------,09:00-10:00,0.0,0.0,0.0,0.0,,2024-04-10 09:00:00
135,,PL-UA,B09-------,08:00-09:00,0.0,0.0,0.0,0.0,,2024-04-10 08:00:00
136,,PL-UA,B08-------,07:00-08:00,69.0,5.0,5.0,0.0,,2024-04-10 07:00:00
137,,PL-UA,B07-------,06:00-07:00,69.0,5.0,5.0,0.0,,2024-04-10 06:00:00
138,,PL-UA,B06-------,05:00-06:00,69.0,5.0,5.0,0.0,,2024-04-10 05:00:00
139,,PL-UA,B05-------,04:00-05:00,69.0,5.0,5.0,0.0,,2024-04-10 04:00:00
140,,PL-UA,B04-------,03:00-04:00,32.0,5.0,5.0,0.0,,2024-04-10 03:00:00
141,,PL-UA,B03-------,02:00-03:00,0.0,0.0,0.0,0.0,,2024-04-10 02:00:00
142,,PL-UA,B02-------,01:00-02:00,0.0,0.0,0.0,0.0,,2024-04-10 01:00:00
